X_u,Y_u,Z_u,RxTime_s
,,,233522.0
,,,0.0
,,,233522.0
3108452.8382020374,-486282.5463875171,-16820.89025630406,0.0
-2699299.4822126515,-4293618.844368172,3854688.4241308174,233523.0
-2707904.4981768783,-4180528.080836357,3942194.624494582,233524.0
-2699310.1312415423,-4293653.1669371,3854705.6640870273,233525.0
-2699312.914522775,-4293648.185217566,3854708.7069967324,233526.0
-2699312.7822177233,-4293645.668489362,3854704.8209924526,233527.0
-2699314.8098936127,-4293672.9559568,3854747.400475257,233528.0
-2699302.024665302,-4293671.055362892,3854741.982905203,233529.0
-2699303.3845491237,-4293664.631582587,3854694.7674622852,233530.0
-2699297.8273170926,-4293669.41329012,3854716.862443601,233531.0
-2699308.0433974173,-4293658.937494351,3854722.8907466247,233532.0
-2699310.6413927553,-4293672.167428489,3854706.9422190376,233533.0
-2699308.7602614537,-4293658.909464061,3854698.5482304483,233534.0
-2699325.218350346,-4293689.735809444,3854707.268958573,233535.0
-2699323.5415204116,-4293665.090280736,3854692.882743233,233536.0
-2699329.253374784,-4293655.31338968,3854694.0249325107,233537.0
-2699316.1779679316,-4293643.673192335,3854695.3964722557,233538.0
-2699316.577407635,-4293641.388562251,3854705.0096149,233539.0
-2699316.1282070572,-4293641.359917868,3854706.1350250277,233540.0
-2699312.4753194987,-4293648.135156124,3854708.865106603,233541.0
-2699318.0882822513,-4293657.062211528,3854711.7653463995,233542.0
-2699309.7318251836,-4293646.711245831,3854701.188082172,233543.0
-2699308.045484301,-4293644.849508514,3854703.3887152853,233544.0
-2699306.4159935974,-4293652.811289468,3854704.386994579,233545.0
-2699299.622826741,-4293623.642997603,3854694.0590378977,233546.0
-2699311.9521867833,-4293656.163798714,3854697.334923349,233547.0
-2699319.5820758855,-4293657.922881703,3854705.523039402,233548.0
-2699322.177540845,-4293661.720236579,3854710.301763521,233549.0
-2699329.200579832,-4293659.3815725595,3854704.8420686894,233550.0
-2699327.2919218517,-4293662.196062265,3854710.937284988,233551.0
-2699320.428515243,-4293639.2762070475,3854709.000990304,233552.0
-2699314.023651969,-4293632.234687142,3854712.9432298196,233553.0
-2699316.2761344565,-4293640.08708247,3854726.9151924606,233554.0
-2699319.953867729,-4293634.345196829,3854704.7872365657,233555.0
-2699327.125151807,-4293664.717682249,3854735.6803154796,233556.0
-2699332.737804787,-4293679.611777138,3854734.4674297734,233557.0
-2699328.79518933,-4293658.022447716,3854709.228284233,233558.0
-2699326.3441327866,-4293656.137567831,3854707.1413303604,233559.0
-2699316.6606306294,-4293641.633434056,3854706.8208892224,233560.0
-2699316.984676237,-4293641.709428771,3854709.2317004097,233561.0
-2699317.5476329285,-4293633.968463861,3854711.212148456,233562.0
-2699314.7263312107,-4293636.204737287,3854708.7059126003,233563.0
-2699314.092611886,-4293633.725503199,3854709.2115459247,233564.0
-2699315.1422284245,-4293642.7320593195,3854709.0870458926,233565.0
-2699313.795592634,-4293638.987152893,3854709.2038979614,233566.0
-2699315.727126243,-4293634.187453342,3854710.4732226133,233567.0
-2699316.066316029,-4293637.856061487,3854705.2453121953,233568.0
-2699311.4754921854,-4293635.431364306,3854712.4103531498,233569.0
-2699317.3646804686,-4293633.287876169,3854714.1438646116,233570.0
-2699316.353647659,-4293634.39870574,3854723.8138049883,233571.0
-2699319.6338883075,-4293626.607846629,3854713.138772035,233572.0
-2699315.3763448545,-4293620.058434655,3854714.435961546,233573.0
-2699317.5479393657,-4293623.23878955,3854715.6905366783,233574.0
-2699322.785233139,-4293621.862484394,3854724.285142935,233575.0
-2699326.2329390915,-4293619.648426779,3854729.5527608497,233576.0
-2699328.1526682246,-4293615.995634648,3854727.5879264716,233577.0
-2699328.064825439,-4293609.043802879,3854726.072426011,233578.0
-2699333.30612642,-4293605.539477689,3854726.1575906132,233579.0
-2699336.1687966012,-4293602.455536758,3854735.165611906,233580.0
-2699341.75983972,-4293603.030566046,3854737.4719913444,233581.0
-2699344.239713352,-4293593.20798312,3854741.9788631704,233582.0
-2699345.5128159886,-4293584.8010464525,3854736.3286545333,233583.0
-2699349.0724561852,-4293584.091152033,3854742.618025014,233584.0
-2699348.0727822683,-4293579.086609878,3854754.397115648,233585.0
-2699350.408962337,-4293575.50147973,3854758.8217223347,233586.0
-2699353.4038923434,-4293569.393555639,3854760.594891989,233587.0
-2699358.696627997,-4293568.849084593,3854766.675424192,233588.0
-2699363.170959103,-4293567.156634879,3854769.274950439,233589.0
