X_u,Y_u,Z_u,RxTime_s
-2699389.962789499,-4293627.77343698,3854616.456470235,233501.0
-2699392.0907734605,-4293623.007055358,3854615.750451972,233502.0
-2699390.550744573,-4293632.744585292,3854618.0016932217,233503.0
-2699393.0092577566,-4293633.727655684,3854618.7827514014,233504.0
-2699399.1103935116,-4293631.573498156,3854603.580357297,233505.0
-2699405.0436394727,-4293638.75134883,3854603.0181050906,233506.0
-2699404.1795134526,-4293641.053937028,3854608.218852371,233507.0
-2699416.681330482,-4293657.514642854,3854601.1811720016,233508.0
-2699408.5674144784,-4293652.893040393,3854604.23416713,233509.0
-2699412.614646176,-4293654.463588046,3854607.5097426563,233510.0
-2699406.1545529985,-4293648.968894625,3854607.486210944,233511.0
-2699406.94479552,-4293654.090948518,3854604.2479985203,233512.0
-2699404.1419080393,-4293644.328769462,3854604.002471181,233513.0
-2699412.4274790855,-4293646.514610179,3854596.6445822953,233514.0
-2699405.605301626,-4293649.716357199,3854598.4663104583,233515.0
-2699407.698477916,-4293651.982529786,3854605.2116543427,233516.0
-2699403.285162207,-4293652.359579392,3854604.7258258336,233517.0
-2699399.6436121156,-4293643.2637128085,3854593.0339818075,233518.0
-2699401.3390540355,-4293643.2684062375,3854595.151503991,233519.0
-2699405.163278076,-4293642.952411226,3854597.0524040386,233520.0
-2699403.73538291,-4293639.538996928,3854617.3980445927,233521.0
-2699402.507137313,-4293640.072636356,3854617.1765872603,233522.0
-2699411.097801593,-4293647.081328825,3854621.3521702164,233523.0
-2699408.445632586,-4293649.355138163,3854613.55132816,233524.0
-2699405.7278740807,-4293647.999086113,3854614.236771046,233525.0
-2699404.92975614,-4293650.309195035,3854614.9955344,233526.0
-2699393.547594509,-4293642.940012691,3854605.8922669524,233527.0
-2699409.9479072723,-4293649.013482985,3854607.8288800344,233528.0
-2699402.738415696,-4293639.365345815,3854609.6522967895,233529.0
-2699398.9175987276,-4293636.60802269,3854610.4529237878,233530.0
-2699402.775075991,-4293640.812712083,3854606.651864311,233531.0
-2699418.1591119133,-4293648.507887918,3854607.3196052774,233532.0
-2699411.8557432718,-4293650.691261777,3854609.559191655,233533.0
-2699414.735953746,-4293652.506925832,3854605.1054642005,233534.0
-2699415.6485765884,-4293653.586393973,3854612.9659110284,233535.0
-2699426.5685638124,-4293657.358835152,3854614.5700647705,233536.0
-2699416.6892149355,-4293649.788453596,3854621.8116393317,233537.0
-2686962.528655816,-4260052.222434974,3835181.318920972,233538.0
-2686960.156788061,-4260050.253257392,3835171.6532310727,233539.0
-2699414.709350436,-4293650.046482565,3854607.302580051,233540.0
-2699408.618853421,-4293646.200577903,3854603.5964570437,233541.0
-2699407.6862973836,-4293649.098800783,3854609.5527425837,233542.0
-2684565.2051309305,-4282169.271320524,3882245.529506159,233543.0
-2684563.561902079,-4282171.277217826,3882260.3511664886,233544.0
-2699408.3389992993,-4293641.104108663,3854611.9853625116,233545.0
-2699410.2993982728,-4293644.295870081,3854609.2927878345,233546.0
-2699401.6378430407,-4293638.170978619,3854610.82016223,233547.0
-2699409.280237274,-4293641.782698608,3854608.435838833,233548.0
-2699409.3691360345,-4293641.943455408,3854607.7522545457,233549.0
-2699412.2375644147,-4293644.114464265,3854610.5639282237,233550.0
-2699408.504824055,-4293643.823963081,3854604.5264015817,233551.0
-2699414.389783253,-4293647.388238631,3854601.2360269297,233552.0
-2699403.299549903,-4293637.118585077,3854600.317712598,233553.0
-2699402.375555597,-4293639.838300946,3854600.1870126477,233554.0
-2699407.6485341177,-4293640.052994812,3854597.719768484,233555.0
-2699403.4886057233,-4293638.0240519745,3854607.668213897,233556.0
-2699407.153562974,-4293644.964397042,3854608.0606663423,233557.0
-2699411.5667609554,-4293640.970601548,3854591.8793399837,233558.0
-2699409.2644921117,-4293650.062906427,3854599.9031395214,233559.0
-2699409.062310834,-4293647.678951661,3854598.854732321,233560.0
-2699406.112693422,-4293643.558422249,3854605.4386971197,233561.0
-2699405.057371076,-4293634.353808125,3854608.2528706845,233562.0
-2699403.6220927234,-4293627.7795538055,3854613.8087258483,233563.0
-2699408.1265148227,-4293627.748729457,3854618.414015394,233564.0
-2699407.2882721494,-4293625.191346407,3854618.715349867,233565.0
-2699412.4592490303,-4293629.755964813,3854623.9694091207,233566.0
-2699413.4251524205,-4293623.179582261,3854622.0139560793,233567.0
-2699412.0563593414,-4293617.167133046,3854622.6075972756,233568.0
-2699410.758421522,-4293609.935579449,3854623.7624517526,233569.0
-2699414.481607762,-4293607.864340771,3854622.7400943264,233570.0
-2699422.210052438,-4293605.442990803,3854624.5316409096,233571.0
-2699424.0642209696,-4293599.428239671,3854627.2819095436,233572.0
-2699425.4486334953,-4293599.32531617,3854635.0112965065,233573.0
-2699429.6247081733,-4293598.803860164,3854638.249421673,233574.0
-2699427.029299274,-4293582.678035747,3854635.279456526,233575.0
-2699434.908011621,-4293583.245372673,3854642.084333911,233576.0
-2699435.961465651,-4293580.009394792,3854646.7104460173,233577.0
-2699435.3199177096,-4293576.0203554295,3854643.826430072,233578.0
-2699441.2522501694,-4293573.493870833,3854649.8847586582,233579.0
-2699440.0579031166,-4293565.2143472545,3854653.848794598,233580.0
-2699443.6976840347,-4293568.294142323,3854662.8027961026,233581.0
-2699448.7525925348,-4293564.984991407,3854665.43140111,233582.0
-2699444.534681726,-4293560.829203727,3854668.138469036,233583.0
-2699446.77409492,-4293556.870867008,3854670.214128725,233584.0
-2699449.4036898655,-4293553.954951046,3854673.110538735,233585.0
-2699446.211614837,-4293544.988912048,3854675.0448745196,233586.0
-2699451.65854644,-4293539.325720839,3854680.9393283776,233587.0
-2699457.6093962854,-4293535.910198265,3854685.22850268,233588.0
-2699459.9677241463,-4293530.632470514,3854687.4566246504,233589.0
-2699464.7331439583,-4293531.381333112,3854693.872389086,233590.0
-2699463.759302701,-4293522.509874093,3854693.8478679955,233591.0
-2699465.1464396785,-4293517.702870206,3854697.447667071,233592.0
-2699464.894575105,-4293512.880510294,3854701.3110026503,233593.0
-2699466.873657511,-4293504.974516765,3854701.276481315,233594.0
-2699469.787174057,-4293502.6514922865,3854704.4362586886,233595.0
-2699468.8188067046,-4293493.541129821,3854704.896813963,233596.0
-2699473.757440052,-4293495.2558533605,3854708.58269172,233597.0
-2699473.2651505554,-4293489.523502629,3854713.213316168,233598.0
-2699470.1813650886,-4293482.918826905,3854717.95488888,233599.0
-2699478.149965444,-4293482.003182757,3854719.2162841824,233600.0
-2699483.5096350955,-4293479.373407328,3854726.447721825,233601.0
-2699487.4915373316,-4293478.304015244,3854729.912266105,233602.0
-2699482.7575494694,-4293464.886519338,3854730.656172252,233603.0
-2699489.2238119687,-4293465.550900339,3854736.33419935,233604.0
-2699485.7403221335,-4293458.697824711,3854738.61417926,233605.0
-2699484.231446005,-4293451.674130514,3854743.3970348933,233606.0
-2699487.2530964613,-4293445.137270108,3854743.040888688,233607.0
-2699493.27180069,-4293445.681195123,3854746.027496199,233608.0
-2699498.1377053126,-4293448.321995872,3854751.5115505876,233609.0
-2699500.8641508115,-4293446.43485886,3854750.131542342,233610.0
-2699504.831282075,-4293441.671107737,3854748.6720193974,233611.0
-2699501.8353971196,-4293438.421262574,3854745.4363344396,233612.0
-2699508.691527545,-4293449.44268311,3854741.8872857103,233613.0
-2699513.562522633,-4293450.807683518,3854735.907285493,233614.0
-2699513.575686509,-4293444.668771336,3854732.0601371266,233615.0
-2699515.047800566,-4293447.835482852,3854732.23953487,233616.0
-2699524.572461175,-4293454.08639346,3854731.7488168976,233617.0
-2699527.2290835613,-4293451.686668897,3854725.3590749754,233618.0
-2699526.2686243732,-4293447.284617895,3854721.0737851798,233619.0
-2699532.120565037,-4293447.646731983,3854719.8806202225,233620.0
-2699530.472408318,-4293447.373916838,3854715.7094315146,233621.0
-2699529.860543942,-4293446.962153279,3854714.3308467204,233622.0
-2699541.04546543,-4293456.959026337,3854712.6357767964,233623.0
-2699543.4346816805,-4293452.07677497,3854711.7020691326,233624.0
-2699552.9078385253,-4293453.031374983,3854715.1546303905,233625.0
-2699556.7500166767,-4293449.65091228,3854717.3140897285,233626.0
-2699554.658347867,-4293440.894397405,3854719.2179338746,233627.0
-2699555.879914675,-4293439.12113785,3854726.8961921954,233628.0
-2699554.6464587036,-4293434.261434809,3854727.7715602843,233629.0
-2699550.6928613354,-4293429.488099618,3854727.783456512,233630.0
-2699551.5603148188,-4293423.589188813,3854723.453633529,233631.0
-2699558.513125208,-4293423.4846157,3854724.7545990297,233632.0
-2699560.902949165,-4293420.871175228,3854724.0552981026,233633.0
-2699560.9790299325,-4293415.654723682,3854726.0601707543,233634.0
-2699563.3432008885,-4293410.178671402,3854725.261587485,233635.0
-2699568.375655247,-4293404.2610737635,3854723.783651083,233636.0
-2699567.9951215396,-4293402.122160108,3854725.402348727,233637.0
-2699575.573367611,-4293403.5993678095,3854729.617923937,233638.0
-2699583.40658892,-4293402.792915855,3854731.463477982,233639.0
-2699587.585488378,-4293399.769743997,3854731.01887042,233640.0
-2699595.2807140346,-4293398.579162232,3854732.442034153,233641.0
-2699599.4778574086,-4293392.712401467,3854731.1461490556,233642.0
-2699609.081328385,-4293393.431669747,3854734.053319248,233643.0
-2699615.403958065,-4293390.4367882805,3854734.848844857,233644.0
-2699616.4131690366,-4293386.970479638,3854734.1682550595,233645.0
-2699621.3508872646,-4293384.516707061,3854737.5052513815,233646.0
-2699629.716054896,-4293379.777421606,3854742.035174144,233647.0
