X_u,Y_u,Z_u,RxTime_s
-2684044.948387835,-4304014.002260922,3853850.3641420496,581835.0
-2684046.3393081888,-4304015.06120033,3853856.16320514,581836.0
-2684039.3189339465,-4304053.678455811,3853952.3485298017,581837.0
-2684037.8795252573,-4304026.824861044,3853899.0512046944,581838.0
-2684040.959667144,-4304011.211470103,3853855.8981877617,581839.0
-2684042.1382243154,-4304013.140690666,3853848.192752595,581840.0
-2684046.980728128,-4304021.726983711,3853862.9966029464,581841.0
-2684041.6579218376,-4304010.406489588,3853853.7124929666,581842.0
-2684041.9047873407,-4304011.266841493,3853853.189537255,581843.0
-2684043.8054093528,-4304010.562379118,3853850.942165351,581844.0
-2684047.309390207,-4304013.88499982,3853850.9453532705,581845.0
-2684047.740480326,-4304015.174538938,3853848.0394758033,581846.0
-2684047.7149610366,-4304015.368406011,3853847.7788194004,581847.0
-2684049.4679354155,-4304017.336532252,3853849.8365143584,581848.0
-2684049.871195934,-4304014.582104141,3853845.204672251,581849.0
-2684049.8564577824,-4304014.981242115,3853845.5785368388,581850.0
-2684049.331417348,-4304017.204447457,3853850.1447217963,581851.0
-2684044.8142171535,-4304018.495014223,3853859.5178990546,581852.0
-2684043.3215487297,-4304013.897550946,3853852.8771108184,581853.0
-2684044.893825262,-4304012.693254159,3853849.1723172725,581854.0
-2684050.1366712614,-4304025.291840722,3853851.9601381416,581855.0
-2684051.263168144,-4304019.5952999825,3853846.139845103,581856.0
-2684046.4090416236,-4304013.221116137,3853847.1459224,581857.0
-2684041.676358107,-4304012.511109313,3853849.9517061687,581858.0
-2684041.851524623,-4304009.01135329,3853843.4930993556,581859.0
-2684041.2545531653,-4304008.629619328,3853845.7164729945,581860.0
-2684040.7887039348,-4304007.900485465,3853845.923146588,581861.0
-2684040.7324588937,-4304003.127657725,3853840.3821461624,581862.0
-2684041.3596104756,-4304002.889153145,3853842.698065602,581863.0
-2684041.393472413,-4304007.221780251,3853842.84892325,581864.0
-2684038.9816748668,-4304002.147179831,3853839.8599656364,581865.0
-2684040.481548498,-4304006.80569533,3853843.429277811,581866.0
-2684043.6608660775,-4304013.298001988,3853850.3262989796,581867.0
-2684043.077693416,-4304013.02612335,3853842.080767095,581868.0
-2684046.6168080205,-4304012.027940566,3853842.1601236598,581869.0
-2684045.684579118,-4304013.632631689,3853842.0647213687,581870.0
-2684048.98161115,-4304014.130298719,3853847.5953461174,581871.0
-2684047.986200666,-4304015.199252296,3853846.9608655386,581872.0
-2684046.640637402,-4304016.509516323,3853852.6142930877,581873.0
-2684047.1598107973,-4304018.384415922,3853852.2295340383,581874.0
-2684047.7551668826,-4304017.637795902,3853853.3324672016,581875.0
