Stops_per_s,Avg_Stop_Duration,Avg_Percent_Stop_Time,Max_speed,Avg_Speed,Max_Accel,Min_Accel,Avg_Accel
0.00675023457065133,30.714285714285715,0.20732863324143372,7.5998316,4.269905374567063,0.9286549232914425,-0.9908164497399187,-0.00732384084834054
,,,7.179464,4.772908881453552,2.1625814348363694,-2.2121694954296163,-0.009977018581899791
0.010706638115631691,21.0,0.22483940042826553,6.596156,4.02403240152461,2.6325027343646634,-2.685426793357199,0.04365240112210026
0.007335250278739511,14.666666666666666,0.10758367075484616,7.603544,4.126274941638756,4.381717789741724,-4.807821078324241,-0.03937291205475408
0.009317385075878454,10.5,0.09783254329672378,5.939685,4.254424990548571,1.8694671528873252,-1.9077284394804057,-0.020021292797862692
0.002793296089385475,0.0,0.0,6.077609,4.225873550646831,2.0936917445205023,-2.0446779413769005,0.006382171991235755
0.002324927171656348,4.0,0.009299708686625392,5.7757263,4.162498497246377,1.5730719291917885,-1.5542301302353134,0.012609225725936741
0.012987012987012988,12.875,0.1672077922077922,6.9710603,4.17782151392083,1.8962678999999998,-2.0595538275986534,0.00563832320767966
0.0055248618784530384,3.0,0.016574585635359115,6.2899632,4.200955282518518,1.0331142526584476,-1.0474345,0.00774163922432525
0.007897293071178303,14.666666666666666,0.11582696504394843,6.55451,4.604149378475336,11.52433197358939,-11.907553763259864,-0.13676510496233285
0.016985174066186975,8.500125,0.1443761027093476,5.8467145,3.8511019090070917,1.10432873,-1.1187640405281674,0.019908046691077114
0.007125890736342043,16.990333333333336,0.12107125890736344,7.483413,4.12186002919674,28.350946370902733,-27.522487587757638,0.6328093707029807
0.011128483910994386,8.5,0.09459211324345228,7.6581593,4.652844735385714,3.0149934218615915,-3.2066615868883726,-0.00682447486574448
0.014285714285714285,17.3295,0.2475642857142857,6.1132717,3.3676143653556485,0.8021148,-0.6756220000000002,0.009905417517471279
0.005181333727114697,8.0,0.04145066981691758,6.691881,4.028000569075426,,,
0.005398999565380535,6.0,0.03239399739228321,7.471514,4.32742832055199,2.3562843409668757,-2.7760944239497305,-0.032388031208452205
0.0029069767441860465,14.0,0.040697674418604654,6.728043,4.471176193682065,3.1612229262512654,-3.1728093130396697,0.05102194021147338
