X_u,Y_u,Z_u,RxTime_s
,,,596305.0
,,,0.0
,,,596305.0
1195142.6293910686,-333079.3075257486,-1206391.622095451,0.0
-2695087.3700213972,-4298865.677913741,3851762.4892511955,596306.0
-2695082.8344049696,-4298858.83271418,3851746.803713929,596307.0
-2695091.3193147555,-4298859.455217379,3851745.262603817,596308.0
-2695097.7656948096,-4298858.570947227,3851737.270002234,596309.0
-2695097.434438291,-4298854.588836725,3851744.259810593,596310.0
-2695080.226848395,-4298848.238282662,3851748.1046578945,596311.0
-2695080.6059920476,-4298845.571605689,3851745.905011438,596312.0
-2695082.6678811647,-4298845.025825875,3851739.349344289,596313.0
-2695082.7274167812,-4298844.063855022,3851738.8000291353,596314.0
-2695090.0867199646,-4298850.398196223,3851745.17769629,596315.0
-2695092.5719495374,-4298848.951211138,3851742.1785104605,596316.0
-2695094.2079182807,-4298848.236330345,3851741.8340482293,596317.0
-2695100.2429187167,-4298851.320965234,3851740.4233766003,596318.0
-2695089.8661589692,-4298849.410369782,3851745.6513180537,596319.0
-2695096.542373506,-4298856.599180389,3851744.2757175225,596320.0
-2695096.961063692,-4298852.948729774,3851744.508006913,596321.0
-2695098.4796434008,-4298851.460851739,3851738.3266730495,596322.0
-2695097.976661316,-4298850.489290811,3851737.384553092,596323.0
-2695101.734901883,-4298854.148177469,3851738.113473333,596324.0
-2695100.336622234,-4298853.363041748,3851731.6577568837,596325.0
-2695102.536558004,-4298852.869524203,3851730.2013659463,596326.0
-2695097.699929228,-4298853.583703167,3851726.0428451365,596327.0
-2695105.0034703873,-4298857.794749192,3851718.846519957,596328.0
-2695113.5448617954,-4298868.370816397,3851732.7334345165,596329.0
-2695111.1248777094,-4298858.4703770485,3851725.959551386,596330.0
-2695117.40115833,-4298865.28050487,3851736.773126311,596331.0
-2695116.7408133093,-4298864.334593163,3851732.527486558,596332.0
-2695118.676429306,-4298865.802741279,3851730.2650136403,596333.0
-2695116.8892838145,-4298867.8326422535,3851727.5649812208,596334.0
-2695116.965130157,-4298865.626237831,3851724.527124711,596335.0
-2695118.265316321,-4298870.557404905,3851728.435395808,596336.0
-2695120.5850829734,-4298867.36259593,3851725.717286667,596337.0
-2695117.583231569,-4298865.3246301515,3851721.0256195725,596338.0
-2695117.436499567,-4298864.86636071,3851723.330883511,596339.0
-2695118.5929668616,-4298864.397064785,3851722.782777177,596340.0
-2695118.2978924355,-4298866.501531152,3851721.6914152456,596341.0
-2695117.931737096,-4298864.798215768,3851726.197786432,596342.0
-2695118.640836318,-4298857.391010557,3851722.543953367,596343.0
-2695120.0418185275,-4298854.897726313,3851721.467056721,596344.0
-2695122.5423618215,-4298854.381253584,3851721.624278151,596345.0
-2695125.837564333,-4298851.296776007,3851723.6629197947,596346.0
-2695129.3266159827,-4298855.062767985,3851721.6670855363,596347.0
-2695131.036325451,-4298854.554631614,3851723.386776431,596348.0
-2695134.011254552,-4298859.584028357,3851726.1315443064,596349.0
-2695131.094755856,-4298855.226186317,3851720.115576031,596350.0
-2695131.195222195,-4298851.315339569,3851720.82423653,596351.0
-2695128.5695561985,-4298851.304933624,3851723.7397264997,596352.0
-2695126.3465421763,-4298841.321583119,3851719.1504237177,596353.0
-2695126.9210921507,-4298842.9300708715,3851719.7679245584,596354.0
-2695130.1843853476,-4298844.422124023,3851717.899826208,596355.0
-2695128.46844799,-4298841.10525976,3851713.2520105075,596356.0
-2695131.4545822847,-4298838.387408588,3851711.025080677,596357.0
-2695133.8568457956,-4298840.051745328,3851717.0473131877,596358.0
-2695135.187319715,-4298843.397300097,3851719.7212909036,596359.0
-2695139.2109143897,-4298846.4020294,3851719.7567095794,596360.0
-2695134.59389121,-4298839.588303666,3851717.2604960967,596361.0
-2695140.2111185915,-4298843.445809762,3851723.6541870814,596362.0
-2695136.3814569907,-4298831.940767872,3851718.656634074,596363.0
-2695135.9031474567,-4298834.763467455,3851719.063788925,596364.0
-2695141.2927691294,-4298841.571402746,3851725.698890751,596365.0
-2695141.80041022,-4298839.029638952,3851719.1932913284,596366.0
-2695143.9531707987,-4298842.671012241,3851726.7694859714,596367.0
-2695145.890906572,-4298844.580848594,3851730.9783043973,596368.0
-2695144.0531778457,-4298841.072187029,3851724.4957186114,596369.0
-2695147.691756594,-4298838.930013321,3851727.4556273078,596370.0
-2695148.2407400403,-4298838.867220963,3851726.529056788,596371.0
-2695146.1463615955,-4298836.838835722,3851724.1090377085,596372.0
-2695142.0341301034,-4298831.375126383,3851718.216056621,596373.0
-2695141.0413463856,-4298831.544582815,3851718.612400943,596374.0
-2695145.9485491086,-4298832.84450672,3851717.976501644,596375.0
-2695147.7203648924,-4298835.705793759,3851717.3767190576,596376.0
-2695151.904476068,-4298834.59964652,3851717.007661769,596377.0
-2695151.3844027794,-4298834.147237936,3851715.4327170756,596378.0
-2695155.803431038,-4298833.939032962,3851717.1452567126,596379.0
-2695155.097801359,-4298831.742398033,3851715.7292285324,596380.0
-2695160.9974244977,-4298836.289427809,3851716.5980060725,596381.0
-2695156.8136088043,-4298835.422272573,3851721.6603049044,596382.0
-2695158.1361814644,-4298833.894674202,3851722.8905922445,596383.0
-2695152.2187736775,-4298826.011294042,3851709.7046297905,596384.0
-2695157.491847283,-4298831.227457114,3851708.353989535,596385.0
-2695158.3471339713,-4298832.52143488,3851707.789112237,596386.0
-2695158.242815087,-4298830.31540843,3851701.918310658,596387.0
-2695161.2675608066,-4298823.699757631,3851700.9206165182,596388.0
-2695167.4415546865,-4298828.491221613,3851711.81431899,596389.0
-2695167.8277585483,-4298829.871725706,3851708.4606195763,596390.0
-2695167.812399176,-4298834.563056899,3851709.427655655,596391.0
-2695171.29598545,-4298830.743053874,3851708.0554075786,596392.0
-2695169.2263001376,-4298830.612589893,3851703.768656133,596393.0
-2695167.5479661776,-4298830.449790358,3851700.376979683,596394.0
-2695169.296311986,-4298831.7716020355,3851699.1095559564,596395.0
-2695167.61669289,-4298825.263900661,3851695.547153588,596396.0
-2695171.7652779277,-4298833.0062585585,3851697.00844607,596397.0
-2695171.152248189,-4298836.7260298105,3851697.7537221257,596398.0
-2695172.6476477166,-4298837.444894062,3851701.520217985,596399.0
-2695174.6249414748,-4298841.469604565,3851699.91318099,596400.0
-2695171.2989066425,-4298837.083014459,3851697.1550070867,596401.0
-2695169.108058774,-4298830.315110682,3851702.0835615927,596402.0
-2695166.5072249314,-4298826.278562483,3851696.279631387,596403.0
-2695170.8851354937,-4298819.926767189,3851686.9112556474,596404.0
-2695177.068047791,-4298826.104618075,3851681.687403619,596405.0
-2695180.972963924,-4298829.094673373,3851684.1022736887,596406.0
-2695184.1065524803,-4298835.838653214,3851689.014517963,596407.0
-2695189.345704548,-4298839.349475468,3851687.4954073085,596408.0
-2695190.162264842,-4298839.744845008,3851684.5445734053,596409.0
-2695183.199959458,-4298838.501657745,3851680.58130688,596410.0
-2695187.1275636875,-4298840.257672307,3851679.0727731315,596411.0
-2695189.6599496403,-4298842.650538551,3851679.29135342,596412.0
-2695191.598543764,-4298849.452137705,3851680.0713793267,596413.0
