Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,FLP,37.4273084,-122.1563402,-14.100000381469728,0.5474074,41.576,250.99355,1678231712683,,,1666524691000000,10.483304,Walk
Fix,GPS,37.4274226535,-122.156395259,-9.309872088228833,0.75883734,19.97911,217.41118,1678231711998,0.31803223,25.0,1666525618892000,24.998312,Walk
Fix,FLP,37.4274119,-122.1563904,-14.100000381469728,0.75598824,28.722,217.2692,1678231713610,0.31803223,25.0,1666525618892000,10.119375,Walk
Fix,GPS,37.427416638,-122.1564019695,-12.420456959121395,0.7955562,20.114647,221.7213,1678231712998,0.36494973,26.137218,1666526618919000,22.59735,Walk
Fix,FLP,37.4274123,-122.1563974,-14.100000381469728,0.7822687,25.823,219.65637,1678231714610,0.36494973,26.137218,1666526618919000,10.150441,Walk
Fix,GPS,37.4274106108,-122.1564103593,-14.17998164156945,0.8540942,20.254728,218.54138,1678231713998,0.46335903,26.093618,1666527618921000,20.788034,Walk
Fix,FLP,37.4274091,-122.1564043,-14.100000381469728,0.8253417,22.593,219.36601,1678231715610,0.46335903,26.093618,1666527618921000,10.063373,Walk
Fix,GPS,37.4274032549,-122.1564171016,-16.48065757932313,0.888691,20.406078,221.61168,1678231714998,0.4559694,30.644056,1666528619008000,19.361883,Walk
Fix,FLP,37.427404,-122.1564111,-14.100000381469728,0.8688153,22.245,219.68515,1678231716610,0.4559694,30.644056,1666528619008000,10.150415,Walk
Fix,GPS,37.427395996,-122.1564216627,-22.525051418517755,0.8906722,20.567225,215.36629,1678231715998,0.53218174,38.594967,1666529619027000,18.203306,Walk
Fix,FLP,37.4273984,-122.1564182,-14.100000381469728,0.88575166,21.833,219.5008,1678231717611,0.53218174,38.594967,1666529619027000,10.160485,Walk
Fix,NLP,37.4270114,-122.1566322,-14.100000381469728,,72.9,,1678231717748,,,1666529757000000,7.98768,Walk
Fix,FLP,37.4273974,-122.1564193,-14.100000381469728,0.8858168,20.632,219.50194,1678231717749,0.53218174,38.594967,1666529757000000,8.590989,Walk
Fix,GPS,37.4273892568,-122.1564267394,-22.03890715072373,0.887298,20.750643,215.36629,1678231716998,0.6407457,180.0,1666530619010000,17.241072,Walk
