Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,FLP,37.392324,-122.0792911,-8.100000381469727,0.6853,10.792,335.0071,1678506895261,0.29913437,66.33769,1941710138000000,0.8075391,Walk
Fix,GPS,37.3923291654,-122.0793046734,-0.6532628870776542,0.72590786,8.626703,335.36502,1678506892999,0.30947676,30.648428,1941710658686000,10.810382,Walk
Fix,FLP,37.3923278,-122.0792975,-8.100000381469727,0.71983945,10.25,334.95615,1678506895780,0.30947676,30.648428,1941710658686000,0.8123193,Walk
Fix,GPS,37.3923300072,-122.0793231502,2.684541655995073,0.922398,8.557764,335.36502,1678506893999,0.31663346,49.259544,1941711658729000,10.298181,Walk
Fix,FLP,37.392332,-122.0793079,-8.100000381469727,0.8203397,9.545,336.07736,1678506896781,0.31663346,49.259544,1941711658729000,0.82196873,Walk
Fix,GPS,37.3923289511,-122.0793353847,5.176325423868866,0.93784523,8.891231,335.36502,1678506894999,0.44756386,50.22486,1941712658738000,10.169158,Walk
Fix,FLP,37.3923364,-122.0793176,-8.100000381469727,0.90634894,9.463,335.55695,1678506897781,0.44756386,50.22486,1941712658738000,0.83142376,Walk
Fix,FLP,37.39234,-122.0793214,-8.100000381469727,0.64535856,10.102,308.66257,1678506898486,,,1941713364992033,0.83142376,Walk
Fix,GPS,37.3923349977,-122.0793502496,7.255841364441554,1.0754447,9.297271,344.90924,1678506895999,0.65283275,28.03264,1941713658801000,10.118555,Walk
Fix,FLP,37.392342,-122.0793202,-8.100000381469727,0.72675675,11.141,274.0759,1678506899030,,,1941713907518095,0.84152806,Walk
Fix,NLP,37.3923724,-122.0792592,-8.100000381469727,,16.925,,1678506895261,,,1941710138000000,1.0,Walk
Fix,GPS,37.3923427885,-122.0793553106,8.96232418981666,1.180962,9.740777,341.44815,1678506896999,0.8303899,29.333351,1941714658773000,10.112478,Walk
Fix,FLP,37.3923437,-122.0793182,-8.100000381469727,0.54475826,11.874,303.99738,1678506899573,,,1941714450033476,0.8515906,Walk
Fix,FLP,37.3923467,-122.0793128,-8.100000381469727,0.5319972,12.356,352.11383,1678506900106,,,1941714983000000,0.8515906,Walk
Fix,GPS,37.3923551841,-122.0793657975,9.958847616820933,1.2800213,10.127668,321.34232,1678506897999,0.60316813,25.0,1941715658815000,10.096654,Walk
Fix,FLP,37.3923533,-122.0793025,-9.837061151451884,0.86488676,13.792,20.156677,1678506900658,,,1941715535062345,0.8573828,Walk
Fix,FLP,37.3923621,-122.0792899,-9.837061151451884,1.0777361,15.51,28.888842,1678506901160,,,1941716037600126,0.8573828,Walk
Fix,GPS,37.3923659285,-122.0793772752,10.924298750204631,1.2133824,10.481815,316.0096,1678506898999,0.5717157,25.0,1941716658806000,10.086836,Walk
Fix,FLP,37.3923645,-122.0792851,-12.21884937809484,1.1401727,16.446,28.995373,1678506901743,,,1941716620089262,0.8757611,Walk
Fix,FLP,37.3923715,-122.0792734,-12.21884937809484,1.1612966,16.614,35.51979,1678506902285,,,1941717162618254,0.8757611,Walk
Fix,GPS,37.3923740915,-122.0793925188,12.259111544197424,0.6605579,10.729773,316.0096,1678506899999,0.5539887,180.0,1941717658868000,10.033093,Walk
Fix,FLP,37.3923789,-122.079257,-8.100000381469727,1.1984303,17.528,41.41361,1678506902828,,,1941717705138761,0.88573235,Walk
Fix,FLP,37.3923854,-122.0792456,-8.100000381469727,0.98546606,18.216,40.695553,1678506903345,,,1941718222000000,0.88573235,Walk
Fix,GPS,37.3923865996,-122.0794094286,13.588727779862037,0.8041216,10.907444,316.0096,1678506900999,0.5958505,25.0,1941718658869000,9.966965,Walk
Fix,FLP,37.3923917,-122.0792322,-5.483327432413617,0.8099658,18.607,39.88816,1678506903912,,,1941718790170378,0.895667,Walk
Fix,FLP,37.3924019,-122.079216,-5.483327432413617,0.78678966,18.878,38.67056,1678506904455,,,1941719332688139,0.895667,Walk
