Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,FLP,37.3888168,-122.0895667,-3.595498564020275,,36.022,,1676151945902,,,187138596000000,0.923561,Walk
Fix,GPS,37.3887689736,-122.0895797538,6.581775051842161,0.0,5.325737,,1676151945239,0.42142674,,187139806797341,7.2674546,Walk
Fix,FLP,37.3887694,-122.0895797,-4.319094142282438,0.12166813,20.674,192.28432,1676151947112,0.42142674,,187139806797341,0.98608166,Walk
Fix,GPS,37.3887694163,-122.0895907213,7.632337102644421,0.0,5.3319693,,1676151946239,0.45475313,,187140789054503,10.936647,Walk
Fix,FLP,37.3887691,-122.0895848,-5.007396761370892,0.30250838,13.001,255.99913,1676151948095,0.45475313,,187140789054503,1.0047473,Walk
Fix,GPS,37.3887627037,-122.0895815159,7.852350099184644,0.0,6.876193,,1676151947239,0.5874232,,187141814903910,15.67927,Walk
Fix,FLP,37.388767,-122.0895874,-5.187594099353554,0.29804906,10.702,237.51268,1676151949121,0.5874232,,187141814903910,1.0503405,Walk
Fix,NLP,37.3888186,-122.089656,-0.6999999284744263,,27.607,,1676151950080,,,187142774000000,1.0,Walk
Fix,GPS,37.3887529151,-122.0895882506,10.045877372483726,0.0,5.550072,,1676151948236,0.47454643,,187142868594747,11.3053875,Walk
Fix,FLP,37.3887587,-122.0895862,-5.465239067787316,0.45812127,9.279,194.6247,1676151950175,0.47454643,,187142868594747,1.0605705,Walk
Fix,FLP,37.3887594,-122.089588,-5.465239067787316,0.09807672,10.733,,1676151951129,,,187143823000000,1.0061611,Walk
Fix,GPS,37.3887729367,-122.0896054434,17.144092964539826,0.52651983,6.26822,145.47217,1676151949236,0.22655378,23.713594,187143824232280,10.183782,Walk
Fix,FLP,37.3887596,-122.0895865,-5.6585113971408205,0.17080471,15.022,140.81717,1676151951675,,,187144369669374,1.026477,Walk
Fix,GPS,37.3887787286,-122.0896106461,19.48034550073609,0.7213059,5.088107,142.96388,1676151950236,0.22186194,17.152218,187144836794089,8.487372,Walk
Fix,FLP,37.3887597,-122.089586,-6.002057092897843,0.25344533,15.222,133.15442,1676151952218,,,187144912154054,1.013612,Walk
Fix,FLP,37.3887593,-122.089585,-6.039380952168578,0.3618893,15.294,130.27188,1676151952761,,,187145454673707,1.0356671,Walk
Fix,FLP,37.3887588,-122.0895849,-6.039380952168578,0.4217333,16.249,130.16707,1676151953304,,,187145997179261,1.0356671,Walk
Fix,GPS,37.3887703153,-122.0896045926,20.646586880540536,0.6945363,4.0664473,157.43129,1676151951999,0.3017221,25.26672,187146608814597,6.6342115,Walk
Fix,FLP,37.3887587,-122.0895848,-6.027621397851057,0.4383398,16.06,130.14716,1676151953845,,,187146539688294,1.015203,Walk
Fix,FLP,37.3887576,-122.0895829,-6.027621397851057,0.4689291,17.45,129.39433,1676151954372,,,187147065884828,1.015203,Walk
Fix,GPS,37.3887591666,-122.0895970892,21.30133691816384,0.5712971,4.463249,131.83733,1676151952999,0.25532895,24.2684,187147596818911,6.2823014,Walk
Fix,FLP,37.3887577,-122.0895824,-6.532298112477925,0.48495147,17.192,128.47974,1676151954931,,,187147624706300,0.93482244,Walk
Fix,NLP,37.3887212,-122.0894658,-0.6000000238418579,,27.225,,1676151955022,,,187147716000000,1.0958039,Walk
Fix,FLP,37.3887551,-122.0895762,-5.812487587560376,0.51384187,17.5,126.886986,1676151955474,,,187148167208131,0.99417657,Walk
Fix,GPS,37.3887502188,-122.0895867443,21.38193920487501,0.98888063,4.1244984,134.06181,1676151953999,0.2535004,14.144209,187148532670000,6.0562367,Walk
Fix,FLP,37.3887525,-122.0895699,-6.102780006646036,0.54723793,14.937,125.59666,1676151956016,,,187148709734987,0.9571231,Walk
Fix,GPS,37.3887435413,-122.0895755685,21.64173927313926,0.6785145,4.1020126,148.50722,1676151954999,0.2796005,21.25465,187149532677000,5.88672,Walk
Fix,FLP,37.38875,-122.0895649,-6.027621397851057,0.5772983,13.691,124.74228,1676151956559,,,187149252236451,0.96752083,Walk
Fix,FLP,37.3887465,-122.0895582,-6.027621397851057,0.6086969,13.038,123.72275,1676151957100,,,187149794756288,0.95326245,Walk
Fix,GPS,37.3887369486,-122.089566282,21.08894107547622,0.7389957,4.5476193,131.74594,1676151955999,0.26488551,19.699722,187150532773000,5.7002177,Walk
Fix,FLP,37.3887445,-122.0895549,-6.062339902497151,0.6160504,12.708,123.60806,1676151957644,,,187150337290223,0.94830745,Walk
Fix,FLP,37.3887402,-122.0895479,-6.062339902497151,0.63089013,12.541,123.620804,1676151958186,,,187150879805055,0.94830745,Walk
Fix,GPS,37.3887281239,-122.0895531338,20.35002653097781,0.6489863,4.5476394,106.71535,1676151956999,0.2746264,25.372028,187151532712000,5.5690713,Walk
Fix,FLP,37.3887383,-122.0895447,-6.017345925689767,0.6400589,12.571,123.683205,1676151958728,,,187151422324891,0.99752486,Walk
Fix,FLP,37.3887335,-122.0895367,-6.017345925689767,0.6495277,12.49,123.58488,1676151959270,,,187151964845460,0.99752486,Walk
Fix,GPS,37.3887216837,-122.089537968,20.202933981733835,0.49166155,4.173346,118.493935,1676151957999,0.269653,31.993109,187152532728000,5.439583,Walk
Fix,FLP,37.3887318,-122.0895339,-5.908491077473045,0.65094113,12.508,123.115456,1676151959814,,,187152507364685,1.0484084,Walk
Fix,NLP,37.3887262,-122.0900014,-0.3999999463558197,,39.206,,1676151960043,,,187152737000000,1.0,Walk
Fix,FLP,37.3887278,-122.089532,-5.759747520426103,0.64965457,12.449,122.96523,1676151960344,,,187153037000000,1.0293252,Walk
Fix,FLP,37.3887243,-122.0895305,-5.759747520426103,0.64828354,12.51,123.22362,1676151960899,,,187153592410279,1.0293252,Walk
Fix,GPS,37.3887165706,-122.0895245097,19.826273796870563,0.92075074,4.814373,109.45014,1676151958999,0.23612311,15.542215,187153532850000,5.3461766,Walk
Fix,FLP,37.3887191,-122.0895285,-5.942236317191352,0.6632317,12.55,123.893394,1676151961441,,,187154134922304,0.9924333,Walk
Fix,GPS,37.388715554,-122.0895092589,19.397469305094276,0.76328427,4.7909765,106.63726,1676151959999,0.25613934,21.4722,187154532752000,5.2768617,Walk
Fix,FLP,37.3887161,-122.0895261,-5.942236317191352,0.678313,12.616,124.32292,1676151961983,,,187154677455507,1.0051577,Walk
Fix,FLP,37.3887107,-122.08952,-5.942236317191352,0.69788235,12.652,124.82986,1676151962525,,,187155219982850,1.0051577,Walk
Fix,GPS,37.3887151464,-122.0894979445,19.36970936153011,0.75861496,4.199409,113.13491,1676151960999,0.21633407,17.33427,187155532758000,5.150902,Walk
Fix,FLP,37.3887073,-122.0895124,-6.357862570685207,0.70880616,12.547,124.92849,1676151963069,,,187155762497499,0.9995121,Walk
Fix,FLP,37.3887048,-122.0895062,-6.357862570685207,0.71457106,12.5,125.0287,1676151963611,,,187156305036195,0.9995121,Walk
Fix,GPS,37.3887177759,-122.089487866,19.11060898934795,0.8318284,4.2930217,94.249016,1676151961999,0.1948964,13.252817,187156532774000,4.9645944,Walk
Fix,FLP,37.3887021,-122.0894968,-6.278658765336047,0.72784585,12.301,125.02502,1676151964154,,,187156847552247,1.032203,Walk
Fix,FLP,37.3886996,-122.0894901,-6.278658765336047,0.7363987,12.213,124.934296,1676151964697,,,187157390098451,1.032203,Walk
Fix,GPS,37.3887188898,-122.0894757341,17.841737046798627,0.9813414,4.6106443,117.50397,1676151962999,0.1896622,11.051413,187157532790000,4.8141456,Walk
Fix,FLP,37.388697,-122.0894804,-6.834869579058328,0.7572589,11.967,124.64963,1676151965238,,,187157932611390,0.96718884,Walk
Fix,GPS,37.3887122568,-122.0894597242,17.5538198407323,1.0850742,4.226969,122.20852,1676151963999,0.03277344,10.0,187158532807000,4.5540814,Walk
Fix,FLP,37.3886946,-122.0894732,-6.834869579058328,0.7707182,11.71,124.39254,1676151965782,,,187158475153627,0.96718884,Walk
Fix,NLP,37.3889332,-122.0892594,-0.6000000238418579,,23.129,,1676151965897,,,187158591000000,1.0,Walk
Fix,FLP,37.3886994,-122.0894553,-6.272115959476821,0.7951925,11.403,123.15879,1676151966324,,,187159017685121,0.9360578,Walk
Fix,GPS,37.3887009326,-122.0894455073,17.271635297670866,1.0870279,3.8660035,125.1872,1676151964999,0.19340116,10.38557,187159532830000,4.2767787,Walk
Fix,FLP,37.3887036,-122.0894469,-5.473733402644086,0.79866713,11.169,122.53063,1676151966866,,,187159560217225,0.9472809,Walk
Fix,FLP,37.3887078,-122.0894305,-5.473733402644086,0.80790734,10.729,119.911255,1676151967371,,,187160065884828,0.9472809,Walk
Fix,GPS,37.38869538,-122.0894300337,16.360373065842673,1.160726,3.865905,116.956474,1676151965999,0.02172136,10.0,187160532831000,3.974436,Walk
Fix,FLP,37.3887091,-122.0894251,-5.616901771381244,0.8162757,10.551,118.19614,1676151967952,,,187160645283265,0.95939857,Walk
Fix,FLP,37.3887081,-122.0894107,-5.616901771381244,0.8385736,10.193,115.7019,1676151968493,,,187161187817201,0.95939857,Walk
Fix,GPS,37.3886913953,-122.0894155874,15.587854877453818,1.4464327,4.5478287,120.716965,1676151966999,0.029767845,10.0,187161533011000,3.7524335,Walk
Fix,FLP,37.3887066,-122.0894018,-5.8193786104707215,0.8761736,10.075,114.25768,1676151969037,,,187161730353212,0.9636293,Walk
Fix,FLP,37.3887001,-122.0893907,-5.8193786104707215,0.90759766,9.777,114.28961,1676151969578,,,187162272886537,0.9636293,Walk
Fix,GPS,37.3886849183,-122.08939956,15.048350154158982,1.1788776,3.9509323,116.795334,1676151967999,0.027218621,10.0,187162532865000,3.5630114,Walk
Fix,NLP,37.3889839,-122.0891884,-0.1999998986721038,,24.033,,1676151970119,,,187162812000000,1.2293782,Walk
Fix,FLP,37.3886893,-122.0893779,-5.729207899788236,0.9545257,9.54,114.80785,1676151970122,,,187162815424195,0.9657323,Walk
Fix,GPS,37.3886796158,-122.0893858087,14.459360333089286,1.1495972,4.102176,119.30622,1676151968999,0.024577511,10.0,187163532892000,3.4015949,Walk
Fix,FLP,37.3886837,-122.0893588,-5.729207899788236,0.9766836,8.952,114.904434,1676151970663,,,187163357949586,0.9657323,Walk
Fix,FLP,37.3886803,-122.089341,-5.977179205646607,0.99616086,8.884,114.53325,1676151971207,,,187163900482728,1.0533,Walk
Fix,GPS,37.3886710673,-122.0893737371,14.238251632440363,1.1394216,4.5478826,126.060555,1676151969999,0.027977198,10.0,187164532932000,3.2805922,Walk
Fix,FLP,37.3886774,-122.0893337,-5.944134652165474,1.00948,8.789,114.4354,1676151971750,,,187164443031312,1.0102795,Walk
Fix,FLP,37.388667,-122.0893178,-5.944134652165474,1.0327896,8.553,114.8852,1676151972292,,,187164985568727,1.0102795,Walk
Fix,GPS,37.3886620605,-122.0893605913,14.15999386851768,1.1199663,3.9508696,124.642876,1676151970999,0.024704935,1.2232397,187165532915000,3.1687107,Walk
Fix,FLP,37.3886622,-122.0893127,-5.786655409485235,1.0439683,8.389,115.35895,1676151972835,,,187165528105714,1.0166107,Walk
Fix,FLP,37.3886472,-122.0892981,-5.786655409485235,1.0619571,8.051,116.5706,1676151973371,,,187166065884828,1.0166107,Walk
Fix,GPS,37.388654234,-122.0893441522,14.03788715082036,1.2265052,3.865316,119.78622,1676151971999,0.022488182,1.0303706,187166532930000,3.063598,Walk
Fix,FLP,37.3886428,-122.0892949,-5.803967484800047,1.0702525,7.912,116.98371,1676151973920,,,187166613183900,1.0114008,Walk
Fix,FLP,37.3886301,-122.0892814,-5.803967484800047,1.0855933,7.136,117.92492,1676151974461,,,187167155719788,1.0114008,Walk
Fix,GPS,37.3886461643,-122.0893304526,14.129389341048292,1.2582839,3.865218,125.85196,1676151972999,0.15107127,6.745839,187167532982000,3.0323043,Walk
Fix,NLP,37.3888988,-122.0889933,-0.5000001192092896,,39.936,,1676151975105,,,187167799000000,1.0,Walk
Fix,FLP,37.3886244,-122.089277,-6.061730874596748,1.102626,6.826,118.67757,1676151975004,,,187167698264894,0.99075586,Walk
Fix,FLP,37.3886209,-122.0892695,-6.061730874596748,1.1065967,6.667,118.674965,1676151975544,,,187168237000000,0.99075586,Walk
