Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,GPS,37.3885728478,-122.0859082623,37.39417381395193,5.832564,42.00532,223.15916,1676475315415,0.79571897,180.0,73681576139955,57.12973,Car
Fix,FLP,37.3883875,-122.0857513,-9.249084213012368,2.1322649,27.069,305.4533,1676475317192,0.79571897,180.0,73681576139955,1.0034933,Car
Fix,GPS,37.3887000418,-122.0858805464,15.890362118609069,5.122942,18.781742,210.65877,1676475316415,0.99259156,180.0,73682639554710,28.058233,Car
Fix,FLP,37.3885825,-122.0858572,-9.324888616598578,4.650019,28.731,319.15408,1676475318254,0.99259156,180.0,73682639554710,1.0137033,Car
Fix,GPS,37.3886222773,-122.0858476363,6.651881426805511,4.5579925,14.646125,190.79895,1676475317415,1.320303,180.0,73683645280378,22.25117,Car
Fix,FLP,37.3886011,-122.0858639,-9.271320241851662,3.6075616,29.359,222.23972,1676475319260,1.320303,180.0,73683645280378,1.0236733,Car
Fix,NLP,37.3883594,-122.0856254,-0.6000000238418579,,11.232,,1676475319021,,,73683405000000,1.0,Car
Fix,GPS,37.3885461769,-122.085827054,4.043083910257472,6.477843,17.121346,190.50224,1676475318415,1.0295426,180.0,73684661396386,40.137848,Car
Fix,FLP,37.3885574,-122.0858597,-9.16721469361314,5.7488046,23.407,191.80171,1676475320277,1.0295426,180.0,73684661396386,0.9803967,Car
Fix,GPS,37.3884493948,-122.0858255638,-1.4828008604492735,6.6936398,5.4217625,204.88644,1676475319414,0.86624986,180.0,73685663600000,12.7951,Car
Fix,FLP,37.3884591,-122.08583,-9.11465606572576,6.3735294,21.159,179.634,1676475321279,0.86624986,180.0,73685663600000,0.9893867,Car
Fix,GPS,37.3883869008,-122.0858603051,-3.9480564561970257,6.7029443,7.8695784,210.6225,1676475320414,0.5138675,10.0,73686655697249,13.233866,Car
Fix,FLP,37.3883944,-122.0858587,-9.03783902175264,6.6868687,16.892,209.48337,1676475322270,0.5138675,10.0,73686655697249,0.9993967,Car
Fix,GPS,37.3883274372,-122.0859003989,-4.46122649834729,6.7353354,7.4858794,212.27264,1676475321414,0.52795637,10.0,73687633265569,12.677011,Car
Fix,FLP,37.3883343,-122.0858982,-8.96152666188344,6.7315745,12.577,211.89178,1676475323249,0.52795637,10.0,73687633265569,1.0093867,Car
Fix,NLP,37.3881823,-122.0857705,-1.3000000715255735,,14.354,,1676475324125,,,73688509000000,1.0,Car
Fix,FLP,37.3882951,-122.0859284,-9.013075483790104,6.713956,12.294,211.83908,1676475324124,0.52795637,10.0,73688509000000,0.96319,Car
Fix,GPS,37.3882395061,-122.0859666345,-4.18669924383223,5.6599026,6.8476624,214.43799,1676475322999,0.49017146,10.0,73689235256699,12.132545,Car
Fix,FLP,37.388247,-122.0859629,-9.076753006270536,5.68507,10.602,213.9861,1676475324850,0.49017146,10.0,73689235256699,0.97022,Car
Fix,GPS,37.3882014765,-122.0860020161,-3.100217557641024,3.7611403,6.6289062,219.95491,1676475323999,0.43251243,10.0,73690236341701,11.978545,Car
Fix,FLP,37.3882028,-122.0860007,-9.218762261240345,3.787341,8.854,218.9218,1676475325852,0.43251243,10.0,73690236341701,0.98021,Car
Fix,GPS,37.3881794261,-122.0860305256,-2.513683334466393,2.8542576,6.235243,226.50179,1676475324999,0.4200065,10.0,73691172643000,11.625911,Car
Fix,FLP,37.3881789,-122.0860287,-9.243525196663136,2.863915,8.989,225.90001,1676475326788,0.4200065,10.0,73691172643000,0.98993,Car
Fix,GPS,37.3881633082,-122.0860560761,-1.891126201223969,2.7883587,6.002433,231.88208,1676475325999,0.45863333,10.0,73692172671000,11.3786,Car
Fix,FLP,37.3881624,-122.0860546,-9.009537829587671,2.7890725,8.678,230.94507,1676475327787,0.45863333,10.0,73692172671000,1.00033,Car
Fix,GPS,37.3881494516,-122.0860861785,-1.376283675898774,2.9956434,5.7907553,240.1418,1676475326999,0.38087186,10.0,73693172731000,11.038221,Car
Fix,FLP,37.3881485,-122.0860836,-8.713380385166019,2.9940314,8.395,239.91753,1676475328787,0.38087186,10.0,73693172731000,1.01074,Car
Fix,GPS,37.3881376969,-122.0861205779,-0.8578569921986876,3.693157,5.704071,259.35788,1676475327999,0.36532578,10.0,73694172679000,10.419047,Car
Fix,FLP,37.3881367,-122.0861179,-8.59511666375694,3.6891627,6.201,258.75027,1676475329788,0.36532578,10.0,73694172679000,1.02033,Car
Fix,GPS,37.3881316061,-122.0861650255,-0.7053657774650195,3.8396192,5.6926227,263.92465,1676475328999,0.508275,10.0,73695172685000,9.98365,Car
Fix,FLP,37.3881311,-122.0861628,-8.52334898341288,3.8379195,6.009,262.91922,1676475330788,0.508275,10.0,73695172685000,1.02992,Car
Fix,GPS,37.3881373671,-122.0862126558,-1.328217372170293,4.438603,5.6756854,289.322,1676475329999,0.48990995,10.0,73696173000000,9.474698,Car
