Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,TransitType
Fix,FLP,37.4215272,-122.1586163,2.2143209797206334,0.0,9.247,,1678380918547,0.101199865,,1815733425000000,2.2161958,Bike
Fix,GPS,37.4215271924,-122.1586163228,-5.463515057821319,0.0,8.351336,43.55214,1678380918000,0.042882446,42.224167,1815733821519000,8.538634,Bike
Fix,FLP,37.4215272,-122.1586163,-0.0050594302437859,0.0,9.023,,1678380918944,0.042882446,,1815733821519000,1.9500141,Bike
Fix,GPS,37.4215271924,-122.1586163228,-4.7683820063895865,0.0,7.925477,43.55214,1678380919000,0.35813847,25.0,1815734821561000,8.373736,Bike
Fix,FLP,37.4215272,-122.1586163,-2.4492989559992338,0.0,8.728,,1678380919944,0.35813847,,1815734821561000,2.014648,Bike
Fix,GPS,37.4215107688,-122.1586322737,-4.290970915292595,0.4403506,7.7871075,43.55214,1678380920000,0.5515128,153.84721,1815735821591000,8.247358,Bike
Fix,FLP,37.421523,-122.1586204,-3.43566092443507,0.0051459745,8.51,,1678380920944,0.5515128,,1815735821591000,1.8799257,Bike
Fix,FLP,37.4215197,-122.1586244,-3.43566092443507,0.012888765,9.03,,1678380921657,,,1815736534746488,1.8799257,Bike
Fix,GPS,37.4215137003,-122.1586370833,-4.035810821535603,0.39430368,7.98772,43.55214,1678380921000,0.46567214,153.95288,1815736821596000,8.207551,Bike
Fix,NLP,37.4215013,-122.1586564,-7.299999713897705,,13.716,,1678380918548,,,1815733425000000,1.0497744,Bike
Fix,GPS,37.4215145416,-122.1586396406,-3.654651133964018,0.0,8.117978,43.55214,1678380922000,0.4404215,158.46312,1815737821578000,8.169386,Bike
Fix,FLP,37.4215192,-122.1586265,-7.299999713897705,0.026758559,9.831,,1678380922742,,,1815737619782132,1.8006313,Bike
Fix,GPS,37.4215145416,-122.1586396406,-3.3131574133822563,0.0,7.726906,43.55214,1678380923000,0.03968687,175.87277,1815738821647000,8.012716,Bike
Fix,FLP,37.4215187,-122.158628,-7.299999713897705,0.025847074,10.496,,1678380923827,,,1815738704827787,1.587197,Bike
Fix,GPS,37.4215145416,-122.1586396406,-3.146461547422904,0.0,7.40291,43.55214,1678380924000,0.03972986,180.0,1815739821667000,7.8793163,Bike
Fix,FLP,37.4215179,-122.1586298,-7.299999713897705,0.024786012,11.235,,1678380924912,,,1815739789868802,1.7667018,Bike
Fix,GPS,37.4215145416,-122.1586396406,-2.7339323466173213,0.0,7.2083244,43.55214,1678380925000,0.4155591,81.634995,1815740821752000,7.7683706,Bike
Fix,FLP,37.4215171,-122.1586315,-5.443147488264389,0.023502775,12.2,,1678380925997,,,1815740874919156,1.8051467,Bike
Fix,GPS,37.4215145416,-122.1586396406,-2.472368907384324,0.0,6.939269,43.55214,1678380926000,0.08589873,180.0,1815741821828000,7.660639,Bike
Fix,FLP,37.4215164,-122.158633,-5.444673912624149,0.020225694,11.914,,1678380927082,,,1815741959965238,1.8387526,Bike
Fix,FLP,37.4215156,-122.1586346,-5.444673912624149,0.018104855,11.662,,1678380927616,,,1815742493000000,1.8387526,Bike
Fix,GPS,37.4215145416,-122.1586396406,-2.0226120382773254,0.0,6.7785025,43.55214,1678380927000,0.42339596,180.0,1815742822044000,7.5678983,Bike
Fix,NLP,37.4215291,-122.1586507,-7.299999713897705,,13.782,,1678380928783,,,1815743660000000,1.0,Bike
Fix,FLP,37.4215145,-122.1586367,-5.21519835657528,0.015332634,11.009,,1678380928710,,,1815743587527188,1.3102053,Bike
Fix,GPS,37.4215145416,-122.1586396406,-1.9240935137725,0.0,6.5411644,43.55214,1678380928000,0.06352243,180.0,1815743821699000,7.468615,Bike
Fix,GPS,37.4215145416,-122.1586396406,-1.6295721501158722,0.0,6.375602,43.55214,1678380929000,0.066343874,180.0,1815744821816000,7.384252,Bike
Fix,FLP,37.4215144,-122.158639,-5.370387607411735,0.013898047,10.133,,1678380929795,,,1815744672580777,1.328539,Bike
Fix,GPS,37.4215145416,-122.1586396406,-1.538243105041715,0.0,6.294935,43.55214,1678380930000,0.42103556,180.0,1815745821807000,7.304192,Bike
Fix,FLP,37.4215144,-122.1586402,-7.299999713897705,0.01304746,9.697,,1678380930880,,,1815745757626432,1.471341,Bike
Fix,GPS,37.4215145416,-122.1586396406,-1.3890123020849772,0.0,6.334521,43.55214,1678380931000,0.48107526,143.06575,1815746821767000,7.236056,Bike
Fix,FLP,37.4215146,-122.1586412,-7.299999713897705,0.012566609,9.501,,1678380931965,,,1815746842649564,1.4614488,Bike
Fix,GPS,37.4215145416,-122.1586396406,-1.2802224638801991,0.0,6.391514,43.55214,1678380932000,0.52694607,33.644135,1815747822107000,7.163739,Bike
Fix,FLP,37.4215144,-122.1586417,-7.299999713897705,0.011220475,8.727,,1678380933050,,,1815747927709134,1.2891861,Bike
Fix,NLP,37.4215301,-122.1586595,-7.299999713897705,,14.309,,1678380933805,,,1815748682000000,1.0,Bike
Fix,FLP,37.4215142,-122.1586419,-7.299999713897705,0.0073845387,8.363,,1678380933593,,,1815748470228422,0.87604654,Bike
Fix,GPS,37.4214995318,-122.1586507529,-0.965246790422156,0.47723877,6.499647,43.55214,1678380933000,0.58173746,119.97838,1815748821783000,7.1030564,Bike
Fix,FLP,37.4215146,-122.1586428,-7.299999713897705,0.007863152,7.889,,1678380934135,,,1815749012749418,0.9761563,Bike
Fix,GPS,37.4214974517,-122.1586473038,-0.9882216609625823,0.0,7.061405,43.55214,1678380934000,0.56493795,161.48586,1815749821808000,7.140704,Bike
Fix,FLP,37.4215147,-122.1586435,-4.86103201562256,0.020495234,7.763,,1678380934678,,,1815749555272366,0.8824691,Bike
Fix,GPS,37.4214959491,-122.1586488382,-0.9487378979907746,0.34780324,7.105047,43.55214,1678380935000,0.5705807,90.99757,1815750822127000,7.087665,Bike
Fix,FLP,37.4215148,-122.1586443,-5.120048128312567,0.019110354,7.488,,1678380935763,,,1815750640297085,0.98216397,Bike
Fix,FLP,37.4215146,-122.1586449,-5.120048128312567,0.0370308,7.417,,1678380936292,,,1815751170000000,0.98216397,Bike
Fix,FLP,37.4215144,-122.1586452,-5.120048128312567,0.053330645,7.376,,1678380936829,,,1815751706000000,0.98216397,Bike
Fix,GPS,37.4214964606,-122.1586529269,-0.6968777813052652,0.6222403,7.611344,43.55214,1678380936000,0.5859187,177.95096,1815751821866000,7.1480823,Bike
Fix,FLP,37.421514,-122.1586455,-7.299999713897705,0.09599479,7.233,,1678380937390,,,1815752267863675,0.9220162,Bike
Fix,GPS,37.4214995701,-122.1586570017,-0.2976451062328562,0.57174,8.103714,43.55214,1678380937000,0.62172526,173.15897,1815752821867000,7.225727,Bike
Fix,FLP,37.4215136,-122.1586459,-7.299999713897705,0.12188847,7.167,216.07904,1678380937933,,,1815752810380216,0.927582,Bike
Fix,FLP,37.4215132,-122.1586465,-7.299999713897705,0.15542445,7.207,218.76947,1678380938475,,,1815753352899076,1.0205594,Bike
Fix,NLP,37.4215361,-122.1586616,-7.299999713897705,,13.75,,1678380938884,,,1815753762000000,1.0,Bike
Fix,FLP,37.4215134,-122.1586467,-7.299999713897705,0.1369307,7.198,232.95969,1678380939018,,,1815753895406400,0.8488122,Bike
Fix,GPS,37.4215043738,-122.1586511491,0.1281174178294531,0.0,8.409545,43.55214,1678380938000,0.5561345,39.315464,1815753821866000,7.309406,Bike
Fix,FLP,37.4215143,-122.1586483,-7.299999713897705,0.12590487,7.238,244.56676,1678380939560,,,1815754437936124,0.8495646,Bike
Fix,GPS,37.4215104317,-122.1586398613,0.7241570126606032,0.52002925,8.315362,43.55214,1678380939000,0.5875757,25.0,1815754821953000,7.3254614,Bike
Fix,FLP,37.421515,-122.1586484,-7.299999713897705,0.11482245,7.271,243.02014,1678380940103,,,1815754980444730,0.85542876,Bike
Fix,FLP,37.4215155,-122.1586492,-5.598256728760548,0.09248744,7.332,,1678380940645,,,1815755522966398,0.8647379,Bike
